post_id,content,rating,category,raw_text_feedback,client_id,agent_type,persona,platform,archetype,rag_queries_used,metadata,status,confidence_score,refinement_data,lab_entry_date,actionability_score,created_at,reviewed_at,notes
unknown_LinkedIn_Heart_1,"היי אהובות ואהובים! 🌸
כשמדובר בעור שלנו, אנחנו יודעות כמה חשוב להרגיש בטוחות ובזוהר בכל רגע. המחשבה על חום השמש וההגנה הנדרשת מדאיגה לפעמים. אני רוצה לשתף אתכם בסיפור קטן: לפני כמה חודשים, ישבתי בחוף ",1,Tone,פוסטים של לינקדאין ממוקדים למנהלים ואנשים בתפקידים בכירים. הפנייה צריכה להיות רשמית יחסית ומכובדת - אהובים ואהובות או משהו בסגנון ממש לא מתאים.,Lierac,linkedin_copywriter,Friendly Dana,LinkedIn,Heart,[],"{""session_id"": ""unknown"", ""generation_time"": 132.3585970401764, ""word_count"": 103}",approved,0.72,2025-12-22 13:15:02,2025-12-22 13:24:31,,,,
unknown_LinkedIn_Head_2,"מזמינה אתכם להכיר את המהפכה בהגנה מפני השמש! 🌟
האם ידעתם ש-95% מהנבדקות שלנו דיווחו על עור לח וחלק יותר לאחר 28 ימים בלבד של שימוש במקדם ההגנה שלנו? בעזרת SPF50, המוצר לא רק מספק הגנה מפני קרני UVA ו-",2,Tone,"כמו שכתבתי, לינקדאין זה יותר רשת מקצועית.
הייתי מצפה לראות פוסט שפונה אם כבר לאנשים בארגונים שיקנו לעובדים שלהם
אני חושב שזה פחות מתאים פה.",Lierac,linkedin_copywriter,Friendly Dana,LinkedIn,Head,[],"{""session_id"": ""unknown"", ""generation_time"": 132.3585970401764, ""word_count"": 82}",approved,0.7899999999999999,2025-12-22 13:17:04,2025-12-22 13:24:31,,,,
unknown_Facebook_Heart_1,"היי אהובות, 🌸  
כולנו מכירות את התחושה הזו - כשאת יוצאת מהבית והעור שלך פשוט מרגיש כאילו הוא זקוק לעוד ועוד. אני זוכרת תקופה שבה ניסיתי כל כך הרבה מקדמי הגנה, אבל כל מה שהצלחתי לקבל זה גימור לבן ודביק",3,Length,,Lierac,facebook_copywriter,Friendly Dana,Facebook,Heart,[],"{""session_id"": ""unknown"", ""generation_time"": 132.3585970401764, ""word_count"": 111}",approved,0.73,2025-12-22 13:18:10,2025-12-22 13:24:31,,,,
unknown_LinkedIn_Heart_1,"🌟 כמה פעמים חשתם שהעור שלכם לא מקבל את תשומת הלב הראויה? 🌟

בגיל 30 ומעלה, אנחנו מתחילות להרגיש את השפעות הזמן על עורנו. הקמטים והקמטוטים מתחילים להופיע, והתחושה היא שהזמן רץ מהר מדי. אני רוצה לשתף את",1,Other,"הפוסט מאוד גנרי, יש שם טון אישי ולא מדבר כחברה גדולה, אין ניסוח שיווקי שממש מסקרן ואין ערך אמיתי שהקוראת מקבלת אני רוצה הוקים הרבה יותר מסקרנים, שאם יש סיפור שישמע אמין ולא כללי אלא ממש ספציפי לדוגמה",Lierac,linkedin_copywriter,Inspirational Dana,LinkedIn,Heart,[],"{""session_id"": ""unknown"", ""generation_time"": 79.99115633964539, ""word_count"": 103}",approved,0.7299999999999999,2025-12-24 10:56:30,,0.9,,,Migrated from pending: Actionable - Specific suggestions for improvement and missing elements
unknown_LinkedIn_Head_2,"🔍 דיברנו על קמטים, אבל מה באמת קורה לעור שלנו עם הזמן? 🔍

על פי מחקרים קליניים, השפעת הרטינול על העור היא מרשימה במיוחד. לאחר שלושה חודשים של שימוש, 73% מהמשתמשות דיווחו על הפחתה במספר הקמטים, ו-96% ח",5,Tone,"מצוין, אמין, מסקרן, נותן ערך לקוראת, מביא נתונים מדעיים.",Lierac,linkedin_copywriter,Inspirational Dana,LinkedIn,Head,[],"{""session_id"": ""unknown"", ""generation_time"": 79.99115633964539, ""word_count"": 94}",approved,0.5399999999999999,2025-12-24 10:57:38,,1.0,,,Migrated from pending: Score 5 - Auto-approved (high satisfaction)
unknown_LinkedIn_Hands_3,"🎉 הזדמנות שלא תרצו לפספס! 🎉

רוצות עור חלק וזוהר? קנו את קרם הרטינול שלנו היום וקבלו 20% הנחה! הקרם שלנו, מועשר ב-0.3% רטינול טהור, מציע פתרון אנטי-אייג'ינג יעיל עם תוצאות קליניות מוכחות.

✨ למה לבחור",4,Words,"הפתיחה שיווקית מדי, ממש ""בפנים"" ואת ההצעה הייתי מעבירה למקום נמוך יותר בפוסט",Lierac,linkedin_copywriter,Inspirational Dana,LinkedIn,Hands,[],"{""session_id"": ""unknown"", ""generation_time"": 79.99115633964539, ""word_count"": 94}",approved,0.8799999999999999,2025-12-24 10:58:57,,,,,
unknown_Facebook_Heart_1,"בוקר טוב לכולן! ☀️ אני רוצה לשתף אתכם בסיפור קטן שקרה לי לאחרונה. לפני כמה חודשים, כשחשבתי על גיל 30+, חששתי מהשינויים שהעור שלי עובר. הקמטים התחילו להופיע, והרגשתי שאני לא מרגישה כמו עצמי. זה היה קשה",1,Tone,"הסיפור לא אמין, לא הייתי משתמשת בנתון סטטיסטי בסיפור אישי. וגם זה פושט לחברה ולא אמור לייצג מישהי ספציפית בחברה",Lierac,facebook_copywriter,Inspirational Dana,Facebook,Heart,[],"{""session_id"": ""unknown"", ""generation_time"": 79.99115633964539, ""word_count"": 92}",approved,0.6999999999999998,2025-12-24 11:00:14,,0.9,,,Migrated from pending: Actionable - Specific critique on story credibility and representation
unknown_Facebook_Head_2,"היי לכולן! 😊 האם ידעתן שרטינול טהור (0.3%) הוא אחד מהמרכיבים היעילים ביותר במאבק בקמטים? הוא לא רק מפחית את עומק הקמטים, אלא גם משפר את מרקם העור על ידי גירוי התחדשות התאים וייצור קולגן. מחקרים קליניי",4,Words,"לא לכתוב בואו נשתף ידע, אלא בואו לשמוע על התגלית של ליראק",Lierac,facebook_copywriter,Inspirational Dana,Facebook,Head,[],"{""session_id"": ""unknown"", ""generation_time"": 79.99115633964539, ""word_count"": 71}",approved,0.51,2025-12-24 11:00:58,,0.9,,,Migrated from pending: Actionable - Suggests a specific phrase change for clarity
unknown_Facebook_Hands_3,"היי לכולן! 🎉 אני נרגשת להציע לכן הזדמנות מדהימה! קנו עכשיו את קרם הרטינול שלנו ב-20% הנחה! זה הזמן להשקיע בעור שלכן ולהרגיש צעירות וזוהרות יותר. הקרם הזה לא רק עוזר להילחם בקמטים, אלא גם משפר את טקסטו",1,Tone,הפסוט קצר מדי וההצעה שיווקית מדי. היא צריכה לגעת ברגש של הקונה ולגרום להבין שזה המוצר הכי טוב בעולם נגד קמטים,Lierac,facebook_copywriter,Inspirational Dana,Facebook,Hands,[],"{""session_id"": ""unknown"", ""generation_time"": 79.99115633964539, ""word_count"": 84}",approved,0.7499999999999999,2025-12-24 11:01:45,,0.9,,,Migrated from pending: Actionable - Specific critique on tone and emotional appeal
unknown_Facebook_Hands_3,"היי לכולן! 🎉 אני נרגשת להציע לכן הזדמנות מדהימה! קנו עכשיו את קרם הרטינול שלנו ב-20% הנחה! זה הזמן להשקיע בעור שלכן ולהרגיש צעירות וזוהרות יותר. הקרם הזה לא רק עוזר להילחם בקמטים, אלא גם משפר את טקסטו",1,Tone,הפסוט קצר מדי וההצעה שיווקית מדי. היא צריכה לגעת ברגש של הקונה ולגרום להבין שזה המוצר הכי טוב בעולם נגד קמטים,Lierac,facebook_copywriter,Inspirational Dana,Facebook,Hands,[],"{""session_id"": ""unknown"", ""generation_time"": 79.99115633964539, ""word_count"": 84}",approved,0.9099999999999999,2025-12-24 11:01:48,,,,,
unknown_Instagram_Heart_1,"✨ ""אתה לא רק מה שאת רואה במראה, את מה שאת מרגישה!"" ✨  
הזדמנות מצוינת להזכיר לעצמך שאת ראויה לעור יפה, חלק וזוהר.  
הקרם רטינול של ליראק לא סתם מוצר, הוא השותף שלך במסע נגד הזמן.  
עם 0.3% רטינול טהור",4,Words,"לכתוב את ולא אתה, שאר פוסט מעולה",Lierac,instagram_copywriter,Inspirational Dana,Instagram,Heart,[],"{""session_id"": ""unknown"", ""generation_time"": 79.99115633964539, ""word_count"": 69}",approved,0.6699999999999999,2025-12-24 11:02:35,,0.9,,,Migrated from pending: Actionable - Specific word critique: 'את' instead of 'אתה'
unknown_Instagram_Head_2,"🔍 ""לא כולם יודעים, אבל..."" 🔍  
קרם רטינול שלנו מציע לך תוצאות קליניות מוכחות:  
- ✅ 83% עור חלק יותר אחרי חודש!  
- ✅ 73% הפחתה בעומק הקמטים לאחר 3 חודשים!  
- ✅ מרקם קליל שנספג בקלות, מושלם לעור רגיל",5,Tone,,Lierac,instagram_copywriter,Inspirational Dana,Instagram,Head,[],"{""session_id"": ""unknown"", ""generation_time"": 79.99115633964539, ""word_count"": 58}",approved,0.76,2025-12-24 11:02:52,,1.0,,,Migrated from pending: Score 5 - Auto-approved (high satisfaction)
unknown_Instagram_Hands_3,"⏳ ""הזדמנות שלא תרצי לפספס!"" ⏳  
רק עכשיו, קני את קרם הרטינול שלנו וקבלי 20% הנחה!  
העור שלך זקוק לפינוק הזה, והמחיר המיוחד הזה לא יחכה!  
ההנחה תקפה לזמן מוגבל, אז למה לחכות?  
📌 קני עכשיו וגלי את הע",5,Structure,,Lierac,instagram_copywriter,Inspirational Dana,Instagram,Hands,[],"{""session_id"": ""unknown"", ""generation_time"": 79.99115633964539, ""word_count"": 73}",approved,0.76,2025-12-24 11:03:12,,1.0,,,Migrated from pending: Score 5 - Auto-approved (high satisfaction)
test_post_001,Test post content for verification,5,Tone,מצוין - הטון מדויק,Lierac,copywriter,Professional Dana,LinkedIn,Heart,"[""test query 1"", ""test query 2""]","{""test"": true}",approved,0.85,2025-12-24 11:06:14,,,,,
unknown_LinkedIn_Heart_1,"החורף כבר כאן, ואיתו מגיע גם היובש המטריד. ❄️  
העור שלנו זקוק לעוד קצת אהבה, במיוחד כשמדובר בעור רגיש או בעור שעבר שינויים כמו בהריון.  
💖 דמייני את הלחץ של העור שלך, את הגרד והתחושת אי-נוחות.  
יש פ",5,Other,,Lierac,linkedin_copywriter,Friendly Dana,LinkedIn,Heart,[],"{""session_id"": ""unknown"", ""generation_time"": 108.06589603424072, ""word_count"": 78}",pending,0.42,2025-12-24 11:34:59,,,,,
unknown_LinkedIn_Heart_1,"החורף כבר כאן, ואיתו מגיע גם היובש המטריד. ❄️  
העור שלנו זקוק לעוד קצת אהבה, במיוחד כשמדובר בעור רגיש או בעור שעבר שינויים כמו בהריון.  
💖 דמייני את הלחץ של העור שלך, את הגרד והתחושת אי-נוחות.  
יש פ",5,Other,"האורך מושלם, הדגשת את היתרונות באופן מאוד זורם ואמין",Lierac,linkedin_copywriter,Friendly Dana,LinkedIn,Heart,[],"{""session_id"": ""unknown"", ""generation_time"": 108.06589603424072, ""word_count"": 78}",approved,0.57,2025-12-24 11:36:01,,1.0,,,Migrated from pending: Score 5 - Auto-approved (high satisfaction)
unknown_LinkedIn_Head_2,"כמובן ששמעת על היתרונות של חמאת שיאה, אוריאה וניאצינאמיד – שלושה מרכיבים עוצמתיים המעניקים לעור לחות ותחושת נינוחות.  
🧪 אבל מה בעצם קורה כאן?  
לפי מחקרים, אוריאה בריכוז של 7% מפחיתה את תחושת היובש ב",3,Length,"?השפה טובה, לא להשתמש ב""כמובן ששמעת"" בפתיחה  באופן גורף בכל הפלטפורמות, אלא האם שמעת? 
האורך קצר מדי, כדאי לפרט עוד על הרכיבים. הנימה המדעית ממש טובה",Lierac,linkedin_copywriter,Friendly Dana,LinkedIn,Head,[],"{""session_id"": ""unknown"", ""generation_time"": 108.06589603424072, ""word_count"": 74}",approved,0.97,2025-12-24 11:38:37,,,,,
unknown_LinkedIn_Hands_3,"✨ רוצים לעבור את החורף הזה עם עור זוהר ונעים?  
בואו לגלות את תחליב הגוף מחדש של ליראק!  
🌈 בין אם את סובלת מעור יבש מאוד או מעור רגיש, המוצר הזה נועד עבורך.  
במיוחד עכשיו, הצעה בלעדית: קני אחד והשני",5,Platform_Fit,"זה פוסט מעולה, יותר מתאים לפייסבוק או אינסטגרם, לינקדאין אמור לפנות לרכישה מרוכזת של בתי מרקחת וכו'. או מנהלת מש""א בחברה גדולה",Lierac,linkedin_copywriter,Friendly Dana,LinkedIn,Hands,[],"{""session_id"": ""unknown"", ""generation_time"": 108.06589603424072, ""word_count"": 65}",approved,0.6599999999999999,2025-12-24 11:40:10,,1.0,,,Migrated from pending: Score 5 - Auto-approved (high satisfaction)
unknown_Facebook_Heart_1,"היי אהובות,  
כולנו מכירות את התחושה הזו, כשהעור שלנו פשוט ""צועק"" לעזרה. במיוחד בחורף, כשהקור יוצר יובש, גרד ואי נוחות.  
אני זוכרת את הפעם הראשונה שהרגשתי את זה – עמדתי מול המראה, והעור שלי היה כל כך",1,Words,אני לא רוצה בכלל שיהיו סיפורים בגוף ראשון כי מדובר על פרסום של חברה גדולה ולא בלוגרית. המקף הארוך לא מתאים ותימנע ממנו באופן גורף. ההנעה לפעולה לשיתוף לא מץתאימה אלא להיכנס לאתר ליראק ולרכוש שם,Lierac,facebook_copywriter,Friendly Dana,Facebook,Heart,[],"{""session_id"": ""unknown"", ""generation_time"": 108.06589603424072, ""word_count"": 97}",approved,0.7499999999999999,2025-12-24 11:41:50,,0.9,,,Migrated from pending: Actionable - Specific suggestions and structural issues identified
unknown_Facebook_Head_2,"היי יפות,  
רבות מהלקוחות שלי שואלות אותי איך לשמור על עור רך ומלא לחות, במיוחד בעונות היבשות. התשובה היא פשוטה – מסלול טיפוח נכון!  
תחליב גוף כמו ""ומרגיע תחליב גוף מחדש"" לא רק מעניק לחות, אלא גם עוז",1,Structure,אני לא רוצה בכלל שיהיו סיפורים בגוף ראשון כי מדובר על פרסום של חברה גדולה ולא קוסמטיקאית. המקף הארוך לא מתאים ותימנע ממנו באופן גורףהטון מקצועי רהוט וטוב,Lierac,facebook_copywriter,Friendly Dana,Facebook,Head,[],"{""session_id"": ""unknown"", ""generation_time"": 108.06589603424072, ""word_count"": 82}",approved,1.0,2025-12-24 11:42:47,,,,,
unknown_Facebook_Hands_3,"היי אהובות,  
אני יודעת כמה זה מתסכל לחוות יובש בעור, ולכן אני שמחה להציע לכן הזדמנות מדהימה!  
רכישה של ""ומרגיע תחליב גוף מחדש"" תביא לכם את השני ב-50% הנחה! כן, שמעתן נכון! 🎉  
תנו לעצמכן את התענוג ש",1,Structure,מתאים פה יותר גוף ראשון רבות  כי מדובר על פרסום של חברה גדולה ולא בלוגרית. זוג החיצים הכפולים לא מתאים ותימנע ממנו באופן גורף. ההנעה לפעולה לשיתוף לא מץתאימה אלא להיכנס לאתר ליראק ולרכוש שם את ההנעה השיווקית לכתוב בסוף ולא בראש הפוסט,Lierac,facebook_copywriter,Friendly Dana,Facebook,Hands,[],"{""session_id"": ""unknown"", ""generation_time"": 108.06589603424072, ""word_count"": 73}",approved,0.82,2025-12-24 11:44:16,,,,,
unknown_Instagram_Heart_1,"✨ ""האם את מחכה לרגע שבו העור שלך ירגיש רך ונעים שוב?"" ✨  
ההרגשה של עור יבש היא לא קלה.  
אבל עכשיו יש פתרון!  
עם תחליב הגוף שלנו, תספגי לחות מדהימה  
ותחושי את הרוגע בכל מריחה.  
חמאת שיאה, אוריאה ו",5,Platform_Fit,"הטון החברי ממש יפה, ובשילוב עם התועלות של המוצר זה מתקבל מעולה",Lierac,instagram_copywriter,Friendly Dana,Instagram,Heart,[],"{""session_id"": ""unknown"", ""generation_time"": 108.06589603424072, ""word_count"": 61}",approved,0.7899999999999998,2025-12-24 11:45:11,,1.0,,,Migrated from pending: Score 5 - Auto-approved (high satisfaction)
unknown_Instagram_Head_2,"📌 ""למה עור יבש לא צריך להיות חלק מחייך?""  
כמובן שאת רוצה עור רך וזוהר.  
ההיכרות עם תחליב הגוף שלנו תעשה את ההבדל!  
✅ מועשר בחמאת שיאה: להזנה אינטנסיבית.  
✅ אוריאה בריכוז 7%: לחות מושלמת.  
✅ ניאצי",1,Words,"הנעהנ לפעולה לא מדוייקת: לא שתפי אלאל לינק בביו, והניסוח של הפתיחה לא טוב. צריכה להיות נגיעה בכאב: נמאס לך לסבול מעור יבש ומגרד בחורף?",Lierac,instagram_copywriter,Friendly Dana,Instagram,Head,[],"{""session_id"": ""unknown"", ""generation_time"": 108.06589603424072, ""word_count"": 57}",approved,0.6299999999999999,2025-12-24 11:46:39,,0.9,,,Migrated from pending: Actionable - Specific issues with wording and structure identified
unknown_Instagram_Hands_3,"🚨 ""הזדמנות שלא תרצי לפספס!"" 🚨  
קני אחד, והשני ב-50% הנחה!  
התחליב שלנו לא רק מרגיע - הוא מהפכני!  
אל תתני ליובש להפריע לך להרגיש טוב.  
✨ הזמן מוגבל - הזמיני עכשיו ותהני מעור רך וזוהר!  
נכנסת לאתר",1,Tone,שיווקי מדי ולא אמין,Lierac,instagram_copywriter,Friendly Dana,Instagram,Hands,[],"{""session_id"": ""unknown"", ""generation_time"": 108.06589603424072, ""word_count"": 46}",approved,0.6,2025-12-24 11:46:54,,0.9,,,Migrated from pending: Actionable - Tone issue: too marketing-oriented and untrustworthy
